t,Is_new,Ir_new,Is_cum,Ir_cum
1,4836,23,5220.561676,27.99685559
2,4507,19,9681.622333,46.38006134
3,4608,20,14284.58552,64.76326709
4,4694,19,18909.72097,83.15291631
5,4738,19,23690.06231,104.6225418
6,4123,18,27854.01455,119.9193278
7,4195,21,32031.27016,141.3889533
8,3609,9,35547.79213,150.5128998
9,3152,3,38713.99223,153.4640068
10,3410,7,42115.2184,159.507977
11,3239,5,45414.45213,165.5455038
12,3383,5,48802.37493,171.5830305
13,5158,100,54048.33394,270.2131498
14,3899,54,57919.61222,322.5469729
15,4358,80,62305.28716,399.5785974
16,4616,82,67023.54614,482.7701745
17,5390,80,72393.66986,565.9746385
18,7179,97,79731.80423,661.5183381
19,8496,135,88348.83511,794.1055182
20,7810,128,96202.25303,926.6798113
21,7124,119,103341.7239,1043.834893
22,7382,88,110760.5653,1127.032913
23,6431,61,117186.089,1188.625996
24,5921,28,123083.9128,1219.35488
